Year,10th percentile,50th (median),90th percentile,95th percentile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,13259,56516,162180,214462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,12290,53718,157660,206806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,12618,52850,152630,199437,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,12631,52666,150718,197333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,12646,52751,151348,196021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,12894,53568,150865,196206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,13389,54988,152041,198846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,13387,55376,152248,198154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,13903,57423,155467,202336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,14107,56663,156349,204561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,13700,56224,153031,201468,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,13685,55629,151660,197190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,13577,55823,152321,198611,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,13991,55871,150336,197619,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,14306,56531,152116,201475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,14564,57790,154144,199864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,14722,57909,153365,202061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,14097,56510,147215,192119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,13573,54506,143849,186399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,13407,53407,138513,179878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,13409,52664,135538,174641,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,12706,51065,134347,173817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,12419,50478,132075,169073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,12418,50725,128402,163950,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,12600,51145,128827,163659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,12879,52684,130377,166707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,13293,53367,132844,169392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,12642,52432,129034,164933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,12453,52032,127388,161578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,12347,51388,124564,159148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,12392,49631,120111,151308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,12383,48720,118305,148887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,11902,47283,114365,143763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,11939,47585,113243,141748,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,12157,47712,112077,138079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,12328,48518,112057,138790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,12505,50146,114358,142753,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,12737,50242,113398,140264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,12481,48370,109093,135431,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,12329,48066,107226,132612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,12261,47281,104580,128738,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,12605,48553,108098,132689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,12521,50141,110899,138088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,11956,49148,107450,134592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,11213,47130,101798,126010,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,11040,47593,101763,126284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,11298,47965,100841,124643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,11013,46245,95561,118555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,10117,44335,93350,117929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
