Year,Men,Women
2015,51212,40742
2014,50441,39667
2013,50910,39843
2012,50994,39012
2011,50799,39118
2010,52128,40101
2009,52061,40076
2008,51043,39350
2007,51570,40126
2006,49680,38223
2005,50229,38665
2004,51190,39199
2003,52408,39593
2002,51945,39791
2001,51239,39111
2000,51269,37796
1999,51783,37447
1998,51365,37584
1997,49599,36783
1996,48369,35678
1995,48677,34769
1994,48833,35144
1993,49131,35138
1992,49998,35391
1991,49948,34893
1990,48699,34876
1989,50459,34652
1988,51336,33907
1987,51803,33764
1986,52129,33503
1985,50843,32832
1984,50465,32125
1983,49538,31503
1982,49722,30701
1981,50679,30020
1980,50989,30675
1979,51831,30924
1978,52463,31185
1977,52127,30714
1976,50980,30686
1975,51120,30068
1974,51441,30224
1973,53356,30217
1972,51708,29919
1971,49066,29198
1970,48857,29006
1969,47038,28456
1968,45774,26620
1967,44577,25758
1966,43883,25257
1965,42047,25197
1964,41457,24521
1963,40510,23879
1962,39518,23433
1961,38808,22994
1960,37608,22819
