State,Estimate,Margin.Error,Percent,Margin.Error.Percent,SPM.estimate,SPM.Margin.Error,SPM.Percent,SPM.Margin.Error.Perent,Difference,Diff.Percent
Alabama,847,60,17.6,1.3,665,63,13.8,1.3,-182,-3.8
Alaska,73,10,10.4,1.4,81,11,11.7,1.6,9,1.3
Arizona,1246,94,18.8,1.4,1163,84,17.5,1.3,-83,-1.3
Arkansas,472,39,16.3,1.4,418,47,14.4,1.7,-54,-1.9
California,5803,285,15.0,0.7,7959,298,20.6,0.8,2157,5.6
Colorado,591,69,11.0,1.3,601,63,11.2,1.2,10,0.2
Connecticut,344,49,9.6,1.4,460,51,12.8,1.4,116,3.2
Delaware,105,13,11.2,1.4,113,15,12.1,1.6,8,0.9
District of Columbia,130,11,19.6,1.7,147,13,22.2,2.0,17,2.6
Florida,3172,187,16.0,1.0,3766,221,19.0,1.1,594,3.0
Georgia,1788,131,17.9,1.3,1678,127,16.8,1.3,-109,-1.1
Hawaii,149,19,10.9,1.4,229,23,16.8,1.7,81,5.9
Idaho,204,25,12.5,1.6,176,25,10.8,1.6,-28,-1.7
Illinois,1636,121,12.9,0.9,1747,135,13.7,1.1,111,0.9
Indiana,978,111,15.0,1.7,806,88,12.4,1.4,-171,-2.6
Iowa,351,38,11.4,1.3,325,40,10.5,1.3,-26,-0.8
Kansas,356,48,12.6,1.7,281,38,9.9,1.3,-76,-2.7
Kentucky,913,73,20.7,1.7,706,78,16.0,1.8,-207,-4.7
Louisiana,961,82,21.0,1.8,816,64,17.9,1.4,-145,-3.2
Maine,171,21,12.9,1.6,135,17,10.2,1.2,-36,-2.7
Maryland,599,79,10.1,1.3,847,81,14.3,1.4,249,4.2
Massachusetts,839,108,12.5,1.6,1013,115,15.1,1.7,174,2.6
Michigan,1340,118,13.5,1.2,1189,107,12.0,1.1,-151,-1.5
Minnesota,492,66,9.1,1.2,492,63,9.1,1.2,Z,Z
Mississippi,593,61,20.2,2.0,498,54,17.0,1.9,-95,-3.2
Missouri,757,98,12.7,1.6,692,77,11.6,1.3,-65,-1.1
Montana,116,19,11.5,1.9,99,16,9.8,1.5,-17,-1.7
Nebraska,207,25,11.0,1.3,171,24,9.1,1.3,-36,-1.9
Nevada,422,49,14.9,1.8,479,50,17.0,1.8,57,2.0
New Hampshire,87,12,6.7,0.9,113,15,8.7,1.1,26,2.0
New Jersey,962,109,10.8,1.2,1342,122,15.1,1.4,380,4.3
New Mexico,451,51,22.0,2.5,352,42,17.1,2.0,-99,-4.8
New York,3010,195,15.4,1.0,3502,216,17.9,1.1,492,2.5
North Carolina,1547,139,15.8,1.4,1365,116,13.9,1.2,-182,-1.9
North Dakota,84,11,11.4,1.5,76,10,10.3,1.3,-8,-1.1
Ohio,1697,133,14.8,1.2,1392,129,12.2,1.1,-305,-2.7
Oklahoma,671,80,17.8,2.2,523,53,13.8,1.4,-149,-3.9
Oregon,542,67,13.6,1.6,535,66,13.4,1.6,-7,-0.2
Pennsylvania,1535,132,12.1,1.0,1594,135,12.6,1.1,59,0.5
Rhode Island,115,17,11.0,1.6,122,19,11.7,1.8,7,0.7
South Carolina,793,80,16.7,1.7,773,71,16.3,1.5,-20,-0.4
South Dakota,113,17,13.4,2.1,86,12,10.2,1.5,-26,-3.2
Tennessee,1030,92,15.9,1.4,1003,108,15.5,1.7,-27,-0.4
Texas,4299,234,16.1,0.9,4001,222,14.9,0.8,-298,-1.1
Utah,312,42,10.6,1.4,301,40,10.2,1.4,-11,-0.4
Vermont,56,8,9.1,1.3,54,9,8.8,1.4,-2,-0.3
Virginia,852,90,10.3,1.1,1100,95,13.3,1.2,248,3.0
Washington,838,82,11.9,1.2,836,94,11.8,1.3,-3,Z
West Virginia,336,45,18.6,2.6,268,33,14.8,1.8,-69,-3.8
Wisconsin,683,75,12.0,1.3,673,76,11.8,1.3,-10,-0.2
Wyoming,61,9,10.5,1.5,58,8,10.1,1.4,-2,-0.4
