State,Medicaid.Expansion,number2013,percent2013,number2014,percent2014,number2015,percent2015,diff1514,diff1513
Alabama,N,645,13.60,579,12.10,484,10.10,-2.00,-3.40
Alaska,N,132,18.50,122,17.20,106,14.90,-2.30,-3.70
Arizona,Y,1118,17.10,903,13.60,728,10.80,-2.80,-6.30
Arkansas,Y,465,16.00,343,11.80,278,9.50,-2.30,-6.50
California,Y,6500,17.20,4767,12.40,3317,8.60,-3.90,-8.60
Colorado,Y,729,14.10,543,10.30,433,8.10,-2.20,-6.00
Connecticut,Y,333,9.40,245,6.90,211,6.00,-1.00,-3.40
Delaware,Y,83,9.10,72,7.80,54,5.90,-1.90,-3.30
District of Columbia,Y,42,6.70,34,5.30,25,3.80,-1.50,-2.90
Florida,N,3853,20.00,3245,16.60,2662,13.30,-3.20,-6.70
Georgia,N,1846,18.80,1568,15.80,1388,13.90,-2.00,-5.00
Hawaii,Y,91,6.70,72,5.30,55,4.00,-1.30,-2.80
Idaho,N,257,16.20,219,13.60,180,11.00,-2.50,-5.10
Illinois,Y,1618,12.70,1238,9.70,900,7.10,-2.60,-5.60
Indiana,N,903,14.00,776,11.90,628,9.60,-2.30,-4.30
Iowa,Y,248,8.10,189,6.20,155,5.00,-1.10,-3.10
Kansas,N,348,12.30,291,10.20,261,9.10,-1.10,-3.10
Kentucky,Y,616,14.30,366,8.50,261,6.00,-2.40,-8.30
Louisiana,N,751,16.60,672,14.80,546,11.90,-2.80,-4.70
Maine,N,147,11.20,134,10.10,111,8.40,-1.70,-2.80
Maryland,Y,593,10.20,463,7.90,389,6.60,-1.30,-3.60
Massachusetts,Y,247,3.70,219,3.30,189,2.80,-0.50,-0.90
Michigan,Y,1072,11.00,837,8.50,597,6.10,-2.50,-4.90
Minnesota,Y,440,8.20,317,5.90,245,4.50,-1.40,-3.70
Mississippi,N,500,17.10,424,14.50,372,12.70,-1.80,-4.40
Missouri,N,773,13.00,694,11.70,583,9.80,-1.90,-3.30
Montana,N,165,16.50,143,14.20,119,11.60,-2.60,-4.80
Nebraska,N,209,11.30,179,9.70,154,8.20,-1.40,-3.10
Nevada,Y,570,20.70,427,15.20,351,12.30,-2.90,-8.40
New Hampshire,Y,140,10.70,120,9.20,83,6.30,-2.80,-4.40
New Jersey,Y,1160,13.20,965,10.90,771,8.70,-2.20,-4.50
New Mexico,Y,382,18.60,298,14.50,224,10.90,-3.60,-7.70
New York,Y,2070,10.70,1697,8.70,1381,7.10,-1.60,-3.60
North Carolina,N,1509,15.60,1276,13.10,1103,11.20,-1.90,-4.50
North Dakota,Y,73,10.40,57,7.90,57,7.80,-0.1,-2.60
Ohio,Y,1258,11.00,955,8.40,746,6.50,-1.80,-4.50
Oklahoma,N,666,17.70,584,15.40,533,13.90,-1.50,-3.80
Oregon,Y,571,14.70,383,9.70,280,7.00,-2.70,-7.60
Pennsylvania,Y,1222,9.70,1065,8.50,802,6.40,-2.10,-3.40
Rhode Island,Y,120,11.60,77,7.40,59,5.70,-1.70,-5.90
South Carolina,N,739,15.80,642,13.60,523,10.90,-2.70,-4.90
South Dakota,N,93,11.30,82,9.80,86,10.20,0.4,-1.10
Tennessee,N,887,13.90,776,12.00,667,10.30,-1.80,-3.60
Texas,N,5748,22.10,5047,19.10,4615,17.10,-2.00,-5.00
Utah,N,402,14.00,366,12.50,311,10.50,-2.10,-3.50
Vermont,Y,45,7.20,31,5.00,24,3.80,-1.10,-3.40
Virginia,N,991,12.30,884,10.90,746,9.10,-1.70,-3.20
Washington,Y,960,14.00,643,9.20,468,6.60,-2.60,-7.40
West Virginia,Y,255,14.00,156,8.60,108,6.00,-2.60,-8.00
Wisconsin,N,518,9.10,418,7.30,323,5.70,-1.70,-3.50
Wyoming,N,77,13.40,69,12.00,66,11.50,-0.4,-1.90
